Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,0.000111038,-0.0442211255431175,-0.547738676890731,
,,,0.000113054,-0.0281407237052917,-0.547738676890731,
,,,0.00011507,-0.0281407237052917,-0.547738676890731,
,,,0.000117086,-0.0281407237052917,-0.547738676890731,
,,,0.000119102,-0.0281407237052917,-0.547738676890731,
,,,0.000121118,-0.0281407237052917,-0.547738676890731,
,,,0.000123134,-0.0281407237052917,-0.547738676890731,
,,,0.00012515,-0.0281407237052917,-0.547738676890731,
,,,0.000127166,-0.0281407237052917,-0.547738676890731,
,,,0.000129182,-0.0281407237052917,-0.527638174593449,
,,,0.000131198,-0.0442211255431175,-0.547738676890731,
,,,0.000133214,-0.0442211255431175,-0.547738676890731,
,,,0.00013523,-0.0281407237052917,-0.527638174593449,
,,,0.000137246,-0.0281407237052917,-0.547738676890731,
,,,0.000139262,-0.0281407237052917,-0.547738676890731,
,,,0.000141278,-0.0281407237052917,-0.547738676890731,
,,,0.000143294,-0.0281407237052917,-0.547738676890731,
,,,0.00014531,-0.0281407237052917,-0.547738676890731,
,,,0.000147326,-0.0281407237052917,-0.547738676890731,
,,,0.000149342,-0.0281407237052917,-0.547738676890731,
,,,0.000151358,-0.0281407237052917,-0.547738676890731,
,,,0.000153374,-0.0281407237052917,-0.547738676890731,
,,,0.00015539,-0.0281407237052917,-0.547738676890731,
,,,0.000157406,-0.0281407237052917,-0.547738676890731,
,,,0.000159422,-0.0281407237052917,-0.527638174593449,
,,,0.000161438,-0.0281407237052917,-0.547738676890731,
,,,0.000163454,-0.0281407237052917,-0.547738676890731,
,,,0.00016547,-0.0281407237052917,-0.547738676890731,
,,,0.000167486,-0.0281407237052917,-0.547738676890731,
,,,0.000169502,-0.0281407237052917,-0.547738676890731,
,,,0.000171518,-0.0281407237052917,-0.547738676890731,
,,,0.000173534,-0.0442211255431175,-0.547738676890731,
,,,0.00017555,-0.0442211255431175,-0.547738676890731,
,,,0.000177566,-0.0281407237052917,-0.547738676890731,
