Address:,USB0::0x0957::0x1798::MY56272288::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2014A,,Time (s),1 (VOLT),3 (VOLT),
,,,-0.00826880000000001,-0.396984948311001,-0.648241188377142,
,,,-0.008168,-0.392964847385883,-0.62814068607986,
,,,-0.0080672,-0.388944746460766,-0.62814068607986,
,,,-0.00796640000000001,0.31055281450972,0.557788949459791,
,,,-0.00786560000000001,0.31055281450972,0.618090456351638,
,,,-0.0077648,0.31055281450972,0.618090456351638,
,,,-0.007664,0.31055281450972,0.618090456351638,
,,,-0.00756320000000001,0.31055281450972,0.618090456351638,
,,,-0.0074624,-0.401005049236119,-0.62814068607986,
,,,-0.0073616,-0.401005049236119,-0.648241188377142,
,,,-0.0072608,-0.396984948311001,-0.62814068607986,
,,,-0.00716000000000001,-0.396984948311001,-0.648241188377142,
,,,-0.0070592,-0.392964847385883,-0.668341690674424,
,,,-0.0069584,0.31055281450972,0.597989954054356,
,,,-0.00685760000000001,0.31055281450972,0.618090456351638,
,,,-0.00675680000000001,0.31055281450972,0.618090456351638,
,,,-0.006656,0.31055281450972,0.618090456351638,
,,,-0.0065552,0.31055281450972,0.63819095864892,
,,,-0.00645440000000001,-0.401005049236119,-0.62814068607986,
,,,-0.0063536,-0.401005049236119,-0.62814068607986,
,,,-0.0062528,-0.396984948311001,-0.62814068607986,
,,,-0.006152,-0.392964847385883,-0.62814068607986,
,,,-0.00605120000000001,-0.392964847385883,-0.648241188377142,
,,,-0.0059504,0.31055281450972,0.597989954054356,
,,,-0.0058496,0.31055281450972,0.63819095864892,
,,,-0.00574880000000001,0.31055281450972,0.63819095864892,
,,,-0.00564800000000001,0.31055281450972,0.63819095864892,
,,,-0.0055472,0.31055281450972,0.618090456351638,
,,,-0.0054464,-0.401005049236119,-0.648241188377142,
,,,-0.00534560000000001,-0.401005049236119,-0.648241188377142,
,,,-0.0052448,-0.396984948311001,-0.62814068607986,
,,,-0.005144,-0.396984948311001,-0.648241188377142,
,,,-0.0050432,-0.392964847385883,-0.62814068607986,
,,,-0.00494240000000001,0.31055281450972,0.597989954054356,
,,,-0.0048416,0.31055281450972,0.63819095864892,
,,,-0.0047408,0.31055281450972,0.63819095864892,
,,,-0.00464000000000001,0.31055281450972,0.618090456351638,
,,,-0.00453920000000001,0.31055281450972,0.63819095864892,
,,,-0.0044384,-0.401005049236119,-0.62814068607986,
,,,-0.0043376,-0.396984948311001,-0.62814068607986,
,,,-0.00423680000000001,-0.396984948311001,-0.648241188377142,
,,,-0.004136,-0.392964847385883,-0.62814068607986,
,,,-0.0040352,-0.392964847385883,-0.648241188377142,
,,,-0.0039344,0.31055281450972,0.618090456351638,
,,,-0.00383360000000001,0.31055281450972,0.618090456351638,
,,,-0.0037328,0.31055281450972,0.618090456351638,
,,,-0.003632,0.31055281450972,0.618090456351638,
,,,-0.00353120000000001,0.31055281450972,0.63819095864892,
,,,-0.00343040000000001,-0.401005049236119,-0.62814068607986,
,,,-0.0033296,-0.401005049236119,-0.648241188377142,
,,,-0.0032288,-0.392964847385883,-0.648241188377142,
,,,-0.00312800000000001,-0.392964847385883,-0.648241188377142,
,,,-0.0030272,-0.388944746460766,-0.62814068607986,
